id,replyCount,likeCount,publishedAt,authorName,text,isReply
ef5c6d5b75cc4fa2fa983ca25a7f372d5f011024,322.0,45265,2022-12-01 17:22:20,43f3ada35053bdc369fde5e651e5dd5098751d9f,Optimus's voice never gets old no matter how many times you've heard it..,0
14f16e59a7f94b475fec00f5b849ef0f5267da02,368.0,29740,2022-12-02 16:13:10,74692f5ac83c0bcce5651d4d8eefe178f70c75d0,"No matter how negative the world can be, Optimus Prime is always the voice of optimism",0
69e4c26c391a3273a6a9c9761775730397dd0910,195.0,13761,2022-12-01 18:01:49,d7f0c374910a267a765b860af49ac56322572ea6,"Let’s just all be thankful Peter Cullen is still well enough to lend his talent yet again, a living legend.",0
1194188c416d4ea9dcc1b0d9147416c6fda430bf,74.0,7154,2023-01-30 00:41:29,1ff490a3c3b9f5fe019484f31065767cf9a3f86b,"Peter Cullen is 81 years old and he still voices Optimus, what a legend",0
d9a1a6deb989d7a8b6529405690f7ed4d03b95e2,72.0,4478,2022-12-06 07:27:56,c4bdaaa9c62ba4c3eeb2ccb894254bd06b37e06d,I like how the Optimus primal jumps down out of nowhere and beats its chest in the most aggressive way possible and then acts shocked that Optimus viewed him as a threat.,0
38fe3adbac70a84c3f3acdba00774ac98107de71,38.0,4351,2022-12-01 17:19:17,632e46fb5ca9ea87b6329c31d1f9b57c6d16f4e3,Hearing Peter Cullen as Optimus Prime is beyond epic,0
958e6f0aeeb536de8beb5c1ee4492a9f67a1f136,54.0,4087,2022-12-01 17:45:18,f2286c3e62113deb209823259cdff5a65c3c96a3,When Optimus said “Let them come.” I had the biggest grin on my face. Hearing that line in Peter Cullen’s iconic voice just makes it even better.,0
64a73e855cd51262a6ce55b28264832ef079bd7d,86.0,3964,2023-02-05 03:19:04,5c9a888db4f20a2248e709912d13d0b187fcf698,"For those of you who weren't around to appreciate Beast Wars back in the 90's, seeing Optimus Prime and Optimus Primal in the same scene is absolutely mind-blowing and means everything to us.",0
8db268a06936ca9ac9d1019c33f52759507b1325,41.0,3568,2022-12-16 02:48:15,eef04ba6209f0d676d01e228905910c8800defa9,"I love how Prime says ""Let them come"" on the first day after November ends.",0
580f3ebda80be787673369dfb85a6dc234a8a94e,20.0,3394,2022-12-02 09:10:01,6e36095ee8f34edc05e95a8f259b13e0caf37bd5,I'm so glad that Peter Cullen is still with us. He's 81 years old. A living legend.,0
