id,replyCount,likeCount,publishedAt,authorName,text,isReply
5c95c48dd918e35e59312155c743054823ab00e5,339.0,17762,2023-01-12 21:07:21,5f9faaf49b73b3df5117426d1ede267242d6c3fd,"A24 = original stories. Not remakes, sequels or recycled stories. They are bold. Even on their worst day I much rather watch one of their authentic new stories fail than to rehear/watch an altered recycled original. They are a fresh breath of air to cinema.",0
1aa61a40b4ef0987436341e91b8fadd72c79c69d,84.0,9792,2023-03-17 04:12:18,0b9d61a3d090d09db522a867b998a7eada1a01eb,I love when a good director gets popular enough that they're allowed to be weird.,0
c5b4e548a2b6b0f3850f84d6c31bad36c2ac269f,70.0,6654,2023-01-10 15:48:09,aa925be029513e2a5e7f6ab364081d5fde035732,"This is a perfect example of how you do a trailer. You’re not getting a synopsis or plot of the the entire movie, but it perfectly gives you a setting and a vibe. Such a good trailer!",0
db699edee9cf62beabda3a98557f3d2bc5aa2bc3,62.0,6508,2023-02-22 18:04:53,59cccb898c9b91c6597ef50f27853ee2ff74ec83,I absolutely love when a movie trailer grabs my attention but doesn't tell me a single thing about the plot of the movie. 10/10,0
e6e9eedfb4df359ab16283c7df5617131752ac5f,63.0,4346,2023-01-10 17:03:33,3bf420487d53c1ea5687bfd60d3994016a00c448,God bless Ari Aster!,0
5acf6a3b1d3030e8bdbab79738d76283d098a483,39.0,3802,2023-01-10 18:53:21,a99a505755dbe8cbf34dc919a7ead31ff1a3712e,There is NOTHING I enjoy more on this planet than creative and weird movies. This is beautiful.,0
dcc9abfef352e3f47ef65dfea431f93ca8ddbfe8,60.0,2953,2023-01-11 01:07:57,07f0d034908b0d100e6f06ec90d53a5371a2a80b,A24 is easily in the top 3 production companies right now. Even their work that isn't as popularly recognized is all of a really high standard and most have their own cult followings. I always get a feeling like I'm in a fever dream watching A24 movies and it's rare that production companies can achieve that effect where you are enveloped in the story time after time 🙏,0
ecc885e0d92b4f5fc5c80d1289c259baf88e2672,35.0,2546,2023-01-10 17:33:12,81e525d165b0a324d30c411a507b40ea9b6cd494,"This could be a new example of “psychological horror “ we need more filmmakers like Ari , we need people that push the limits of a preexisting art to something new ❤",0
2315a87984a85d91d1e05b0c56530b95e731175d,22.0,2435,2023-01-12 23:03:48,4433ca63b982f3f98fb8020b7f4bda70bab5d804,"I love how these trailers barely tell anything about what happens, so nothing is spoiled, but also show everything at once about the movie",0
27b777d80162202e474ca2d271726eadc76aec51,12.0,2160,2023-04-13 19:53:25,36ae447a217bc6424a86d1029ed0baa0277bac8c,"It really warms my heart to see A24 carve out their little niche and find so much success. This is what I loved about movies. It doesn't have to be one or the other. I want to watch big, dumb superhero popcorn flicks AND be blown away by stuff like this.",0
